Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
272243270,0,0,0,-0.216667,10000,10,10,1000,1000
272926984,0,0,0,-0.455556,10000,10,10,1000,1000
273611004,0,0,0,-0.697222,10000,10,10,1000,1000
274295330,0,0,0,-0.461111,10000,10,10,1000,1000
274979962,0,0,0,-0.223611,10000,10,10,1000,1000
275665794,0,0,0,0.015278,10000,10,10,1000,1000
276351040,0,0,0,0.255556,10000,10,10,1000,1000
277037041,0,0,0,0.022222,10000,10,10,1000,1000
277723350,0,0,0,-0.215278,10000,10,10,1000,1000
278409967,0,0,0,-0.455556,10000,10,10,1000,1000
279097796,0,0,0,-0.698611,10000,10,10,1000,1000
279785484,0,0,0,-0.943056,10000,10,10,1000,1000
280473028,0,0,0,-1.186111,10000,10,10,1000,1000
281161335,0,0,0,-1.427778,10000,10,10,1000,1000
281849952,0,0,0,-1.668056,10000,10,10,1000,1000
282538879,0,0,0,-1.911111,10000,10,10,1000,1000
283228574,0,0,0,-2.156944,10000,10,10,1000,1000
283918122,0,0,0,-2.395833,10000,10,10,1000,1000
284607980,0,0,0,-2.6375,10000,10,10,1000,1000
285298609,0,0,0,-2.881944,10000,10,10,1000,1000
285989550,0,0,0,-3.126389,10000,10,10,1000,1000
286680803,0,0,0,-3.369444,10000,10,10,1000,1000
287371904,0,0,0,-3.616667,10000,10,10,1000,1000
288064245,0,0,0,-3.856944,10000,10,10,1000,1000
288756434,0,0,0,-4.102778,10000,10,10,1000,1000
289449402,0,0,0,-4.345833,10000,10,10,1000,1000
290142684,0,0,0,-4.593056,10000,10,10,1000,1000
290836749,0,0,0,-4.834722,10000,10,10,1000,1000
291530190,0,0,0,-5.083333,10000,10,10,1000,1000
292239015,0,0,0,-5.376389,10000,10,10,1000,1000
292950104,0,0,0,-5.676389,10000,10,10,1000,1000
293660631,0,0,0,-5.977778,10000,10,10,1000,1000
294367746,0,0,0,-6.256944,10000,10,10,1000,1000
295063825,0,0,0,-6.505556,10000,10,10,1000,1000
295760220,0,0,0,-6.751389,10000,10,10,1000,1000
296456931,0,0,0,-6.994444,10000,10,10,1000,1000
297153958,0,0,0,-7.245833,10000,10,10,1000,1000
297851301,0,0,0,-7.493056,10000,10,10,1000,1000
298548480,0,0,0,-7.7375,10000,10,10,1000,1000
299246454,0,0,0,-7.9875,10000,10,10,1000,1000
299944744,0,0,0,-8.234722,10000,10,10,1000,1000
300643350,0,0,0,-8.476389,10000,10,10,1000,1000
301342756,0,0,0,-8.725,10000,10,10,1000,1000
302042480,0,0,0,-8.975,10000,10,10,1000,1000
302742522,0,0,0,-9.226389,10000,10,10,1000,1000
303442882,0,0,0,-9.475,10000,10,10,1000,1000
304144048,0,0,0,-9.719444,10000,10,10,1000,1000
304845534,0,0,0,-9.969444,10000,10,10,1000,1000
305546850,0,0,0,-10.220833,10000,10,10,1000,1000
306248975,0,0,0,-10.468056,10000,10,10,1000,1000
306951420,0,0,0,-10.716667,10000,10,10,1000,1000
307655171,0,0,0,-10.972222,10000,10,10,1000,1000
308358752,0,0,0,-11.223611,10000,10,10,1000,1000
309062160,0,0,0,-11.476389,10000,10,10,1000,1000
309765888,0,0,0,-11.729167,10000,10,10,1000,1000
310469936,0,0,0,-11.977778,10000,10,10,1000,1000
311174304,0,0,0,-12.227778,10000,10,10,1000,1000
311878992,0,0,0,-12.476389,10000,10,10,1000,1000
312584500,0,0,0,-12.723611,10000,10,10,1000,1000
313290330,0,0,0,-12.973611,10000,10,10,1000,1000
313996482,0,0,0,-13.227778,10000,10,10,1000,1000
314702956,0,0,0,-13.481944,10000,10,10,1000,1000
315409752,0,0,0,-13.736111,10000,10,10,1000,1000
316117375,0,0,0,-13.9875,10000,10,10,1000,1000
316824816,0,0,0,-14.236111,10000,10,10,1000,1000
317533086,0,0,0,-14.4875,10000,10,10,1000,1000
318241680,0,0,0,-14.744444,10000,10,10,1000,1000
318951107,0,0,0,-14.993056,10000,10,10,1000,1000
319660350,0,0,0,-15.25,10000,10,10,1000,1000
320369917,0,0,0,-15.506944,10000,10,10,1000,1000
321080832,0,0,0,-15.759722,10000,10,10,1000,1000
321791562,0,0,0,-16.018056,10000,10,10,1000,1000
322502618,0,0,0,-16.269444,10000,10,10,1000,1000
323214515,0,0,0,-16.526389,10000,10,10,1000,1000
323926224,0,0,0,-16.779167,10000,10,10,1000,1000
324638259,0,0,0,-17.034722,10000,10,10,1000,1000
325351138,0,0,0,-17.291667,10000,10,10,1000,1000
326064345,0,0,0,-17.547222,10000,10,10,1000,1000
326777880,0,0,0,-17.806944,10000,10,10,1000,1000
327491743,0,0,0,-18.0625,10000,10,10,1000,1000
328205934,0,0,0,-18.316667,10000,10,10,1000,1000
328920453,0,0,0,-18.576389,10000,10,10,1000,1000
329635300,0,0,0,-18.829167,10000,10,10,1000,1000
330350475,0,0,0,-19.084722,10000,10,10,1000,1000
331065978,0,0,0,-19.343056,10000,10,10,1000,1000
331781809,0,0,0,-19.598611,10000,10,10,1000,1000
332498496,0,0,0,-19.858333,10000,10,10,1000,1000
333215513,0,0,0,-20.118056,10000,10,10,1000,1000
333933920,0,0,0,-20.377778,10000,10,10,1000,1000
334651599,0,0,0,-20.636111,10000,10,10,1000,1000
335370140,0,0,0,-20.891667,10000,10,10,1000,1000
336088480,0,0,0,-21.15,10000,10,10,1000,1000
336807150,0,0,0,-21.408333,10000,10,10,1000,1000
337526150,0,0,0,-21.668056,10000,10,10,1000,1000
338245480,0,0,0,-21.929167,10000,10,10,1000,1000
338966214,0,0,0,-22.1875,10000,10,10,1000,1000
339686744,0,0,0,-22.445833,10000,10,10,1000,1000
340408145,0,0,0,-22.706944,10000,10,10,1000,1000
341129340,0,0,0,-22.965278,10000,10,10,1000,1000
341850867,0,0,0,-23.226389,10000,10,10,1000,1000
342573810,0,0,0,-23.4875,10000,10,10,1000,1000
343296003,0,0,0,-23.75,10000,10,10,1000,1000
344018528,0,0,0,-24.006944,10000,10,10,1000,1000
344741930,0,0,0,-24.268056,10000,10,10,1000,1000
345465666,0,0,0,-24.526389,10000,10,10,1000,1000
346190283,0,0,0,-24.784722,10000,10,10,1000,1000
346915236,0,0,0,-25.047222,10000,10,10,1000,1000
347639976,0,0,0,-25.315278,10000,10,10,1000,1000
348365600,0,0,0,-25.579167,10000,10,10,1000,1000
349091560,0,0,0,-25.836111,10000,10,10,1000,1000
349817856,0,0,0,-26.098611,10000,10,10,1000,1000
350544488,0,0,0,-26.366667,10000,10,10,1000,1000
351272010,0,0,0,-26.627778,10000,10,10,1000,1000
351999315,0,0,0,-26.886111,10000,10,10,1000,1000
352727512,0,0,0,-27.154167,10000,10,10,1000,1000
353456047,0,0,0,-27.418056,10000,10,10,1000,1000
354184920,0,0,0,-27.681944,10000,10,10,1000,1000
354914131,0,0,0,-27.947222,10000,10,10,1000,1000
355643680,0,0,0,-28.208333,10000,10,10,1000,1000
356374128,0,0,0,-28.477778,10000,10,10,1000,1000
357104354,0,0,0,-28.736111,10000,10,10,1000,1000
357835481,0,0,0,-29.004167,10000,10,10,1000,1000
358566384,0,0,0,-29.268056,10000,10,10,1000,1000
359297625,0,0,0,-29.534722,10000,10,10,1000,1000
360029770,0,0,0,-29.798611,10000,10,10,1000,1000
360762255,0,0,0,-30.069444,10000,10,10,1000,1000
361495080,0,0,0,-30.329167,10000,10,10,1000,1000
362228814,0,0,0,-30.595833,10000,10,10,1000,1000
362962320,0,0,0,-30.865278,10000,10,10,1000,1000
363696166,0,0,0,-31.127778,10000,10,10,1000,1000
364430352,0,0,0,-31.397222,10000,10,10,1000,1000
365165451,0,0,0,-31.659722,10000,10,10,1000,1000
365901466,0,0,0,-31.929167,10000,10,10,1000,1000
366637250,0,0,0,-32.197222,10000,10,10,1000,1000
367373952,0,0,0,-32.466667,10000,10,10,1000,1000
368110998,0,0,0,-32.736111,10000,10,10,1000,1000
368848388,0,0,0,-33.004167,10000,10,10,1000,1000
369586122,0,0,0,-33.272222,10000,10,10,1000,1000
370324200,0,0,0,-33.540278,10000,10,10,1000,1000
371063203,0,0,0,-33.808333,10000,10,10,1000,1000
371801388,0,0,0,-34.077778,10000,10,10,1000,1000
372540498,0,0,0,-34.345833,10000,10,10,1000,1000
373279952,0,0,0,-34.616667,10000,10,10,1000,1000
374020335,0,0,0,-34.886111,10000,10,10,1000,1000
374760478,0,0,0,-35.156944,10000,10,10,1000,1000
375501552,0,0,0,-35.427778,10000,10,10,1000,1000
376242384,0,0,0,-35.698611,10000,10,10,1000,1000
376984738,0,0,0,-35.966667,10000,10,10,1000,1000
377726850,0,0,0,-36.2375,10000,10,10,1000,1000
378469308,0,0,0,-36.505556,10000,10,10,1000,1000
379212112,0,0,0,-36.775,10000,10,10,1000,1000
379955262,0,0,0,-37.043056,10000,10,10,1000,1000
380699352,0,0,0,-37.316667,10000,10,10,1000,1000
381443195,0,0,0,-37.588889,10000,10,10,1000,1000
382187980,0,0,0,-37.859722,10000,10,10,1000,1000
382933113,0,0,0,-38.136111,10000,10,10,1000,1000
383678594,0,0,0,-38.405556,10000,10,10,1000,1000
384425022,0,0,0,-38.675,10000,10,10,1000,1000
385171200,0,0,0,-38.947222,10000,10,10,1000,1000
385918327,0,0,0,-39.223611,10000,10,10,1000,1000
386666406,0,0,0,-39.497222,10000,10,10,1000,1000
387413631,0,0,0,-39.769444,10000,10,10,1000,1000
388161808,0,0,0,-40.045833,10000,10,10,1000,1000
388910940,0,0,0,-40.315278,10000,10,10,1000,1000
389659818,0,0,0,-40.593056,10000,10,10,1000,1000
390409653,0,0,0,-40.863889,10000,10,10,1000,1000
391159840,0,0,0,-41.140278,10000,10,10,1000,1000
391910379,0,0,0,-41.416667,10000,10,10,1000,1000
392661880,0,0,0,-41.694444,10000,10,10,1000,1000
393413124,0,0,0,-41.965278,10000,10,10,1000,1000
394165332,0,0,0,-42.247222,10000,10,10,1000,1000
394917894,0,0,0,-42.520833,10000,10,10,1000,1000
395670196,0,0,0,-42.793056,10000,10,10,1000,1000
396422850,0,0,0,-43.072222,10000,10,10,1000,1000
397175856,0,0,0,-43.345833,10000,10,10,1000,1000
397929831,0,0,0,-43.625,10000,10,10,1000,1000
398684160,0,0,0,-43.901389,10000,10,10,1000,1000
399438843,0,0,0,-44.176389,10000,10,10,1000,1000
400194500,0,0,0,-44.456944,10000,10,10,1000,1000
400949892,0,0,0,-44.729167,10000,10,10,1000,1000
401706260,0,0,0,-45.004167,10000,10,10,1000,1000
402462984,0,0,0,-45.286111,10000,10,10,1000,1000
403219440,0,0,0,-45.566667,10000,10,10,1000,1000
403976875,0,0,0,-45.841667,10000,10,10,1000,1000
404734666,0,0,0,-46.118056,10000,10,10,1000,1000
405492813,0,0,0,-46.395833,10000,10,10,1000,1000
406251944,0.000732,0,0,-46.675,10000,10,10,1000,1000
407011433,0.000732,0,0,-46.954167,10000,10,10,1000,1000
407771910,0.000732,0,0,-47.234722,10000,10,10,1000,1000
408532116,0.000732,0,0,-47.516667,10000,10,10,1000,1000
409292680,0.000732,0,0,-47.795833,10000,10,10,1000,1000
410053602,0.000732,0,0,-48.076389,10000,10,10,1000,1000
410814882,0.000732,0,0,-48.355556,10000,10,10,1000,1000
411576520,0.000732,0,0,-48.634722,10000,10,10,1000,1000
412339152,0.000732,0,0,-48.9125,10000,10,10,1000,1000
413102144,0.000732,0,0,-49.195833,10000,10,10,1000,1000
413865496,0.000732,0,0,-49.479167,10000,10,10,1000,1000
414629208,0.000732,0,0,-49.761111,10000,10,10,1000,1000
415392640,0.000732,0,0,-50.045833,10000,10,10,1000,1000
416157071,0.000732,0,0,-50.326389,10000,10,10,1000,1000
416921862,0.000732,0,0,-50.605556,10000,10,10,1000,1000
417687013,0.000732,0,0,-50.884722,10000,10,10,1000,1000
418452524,0.000732,0,0,-51.165278,10000,10,10,1000,1000
419218395,0.000732,0,0,-51.447222,10000,10,10,1000,1000
419985272,0.000732,0,0,-51.731944,10000,10,10,1000,1000
420752511,0.000732,0,0,-52.018056,10000,10,10,1000,1000
421520112,0.000732,0,0,-52.295833,10000,10,10,1000,1000
422288075,0.000732,0,0,-52.577778,10000,10,10,1000,1000
423057050,0.000732,0,0,-52.865278,10000,10,10,1000,1000
423826389,0.000732,0,0,-53.148611,10000,10,10,1000,1000
424596092,0.000732,0,0,-53.433333,10000,10,10,1000,1000
425365506,0.000732,0,0,-53.719444,10000,10,10,1000,1000
426135936,0.000732,0,0,-54,10000,10,10,1000,1000
426906730,0.000732,0,0,-54.2875,10000,10,10,1000,1000
427677888,0.000732,0,0,-54.568056,10000,10,10,1000,1000
428450067,0.000732,0,0,-54.855556,10000,10,10,1000,1000
429221954,0.000732,0,0,-55.1375,10000,10,10,1000,1000
429994864,0.000732,0,0,-55.429167,10000,10,10,1000,1000
430768140,0.000732,0,0,-55.7125,10000,10,10,1000,1000
431542443,0.000732,0,0,-55.997222,10000,10,10,1000,1000
432315790,0.000732,0,0,-56.2875,10000,10,10,1000,1000
433090164,0.000732,0,0,-56.566667,10000,10,10,1000,1000
433864904,0.000732,0,0,-56.856944,10000,10,10,1000,1000
434640010,0.000732,0,0,-57.140278,10000,10,10,1000,1000
435416148,0.000732,0,0,-57.427778,10000,10,10,1000,1000
436192654,0.000732,0,0,-57.720833,10000,10,10,1000,1000
436969528,0.000732,0,0,-58.006944,10000,10,10,1000,1000
437747439,0.000732,0,0,-58.291667,10000,10,10,1000,1000
438525050,0.000732,0,0,-58.576389,10000,10,10,1000,1000
439303029,0.000732,0,0,-58.865278,10000,10,10,1000,1000
440082048,0.000732,0,0,-59.158333,10000,10,10,1000,1000
440861437,0.000732,0,0,-59.448611,10000,10,10,1000,1000
441641196,0.000732,0,0,-59.7375,10000,10,10,1000,1000
442420650,0.000732,0,0,-60.026389,10000,10,10,1000,1000
443201148,0.000732,0,0,-60.311111,10000,10,10,1000,1000
443982016,0.000732,0,0,-60.598611,10000,10,10,1000,1000
444763254,0.000732,0,0,-60.884722,10000,10,10,1000,1000
445545541,0.000732,0,0,-61.177778,10000,10,10,1000,1000
446328880,0.000732,0,0,-61.470833,10000,10,10,1000,1000
447111912,0.000732,0,0,-61.763889,10000,10,10,1000,1000
447895316,0.000732,0,0,-62.056944,10000,10,10,1000,1000
448679092,0.000732,0,0,-62.348611,10000,10,10,1000,1000
449463924,0.000732,0,0,-62.6375,10000,10,10,1000,1000
450248445,0.000732,0,0,-62.925,10000,10,10,1000,1000
451034024,0.000732,0,0,-63.215278,10000,10,10,1000,1000
451819977,0.000732,0,0,-63.508333,10000,10,10,1000,1000
452606304,0.000732,0,0,-63.805556,10000,10,10,1000,1000
453393005,0.000732,0,0,-64.098611,10000,10,10,1000,1000
454180080,0.000732,0,0,-64.3875,10000,10,10,1000,1000
454967529,0.000732,0,0,-64.679167,10000,10,10,1000,1000
455756044,0.000732,0,0,-64.972222,10000,10,10,1000,1000
456544242,0.000732,0,0,-65.269444,10000,10,10,1000,1000
457333508,0.000732,0,0,-65.558333,10000,10,10,1000,1000
458123150,0.000732,0,0,-65.856944,10000,10,10,1000,1000
458913168,0.000732,0,0,-66.147222,10000,10,10,1000,1000
459704259,0.000732,0,0,-66.441667,10000,10,10,1000,1000
460495030,0.000732,0,0,-66.736111,10000,10,10,1000,1000
461286876,0.000732,0,0,-67.027778,10000,10,10,1000,1000
462078400,0.000732,0,0,-67.329167,10000,10,10,1000,1000
462871001,0.000732,0,0,-67.618056,10000,10,10,1000,1000
463663980,0.000732,0,0,-67.918056,10000,10,10,1000,1000
464456634,0.000732,0,0,-68.209722,10000,10,10,1000,1000
465250368,0.000732,0,0,-68.506944,10000,10,10,1000,1000
466044480,0.000732,0,0,-68.797222,10000,10,10,1000,1000
466838970,0.000732,0,0,-69.095833,10000,10,10,1000,1000
467634545,0.000732,0,0,-69.393056,10000,10,10,1000,1000
468430500,0.000732,0,0,-69.686111,10000,10,10,1000,1000
469226126,0.000732,0,0,-69.986111,10000,10,10,1000,1000
470022840,0.000732,0,0,-70.277778,10000,10,10,1000,1000
470819934,0.000732,0,0,-70.577778,10000,10,10,1000,1000
471616696,0.000732,0,0,-70.875,10000,10,10,1000,1000
472414549,0.000732,0,0,-71.169444,10000,10,10,1000,1000
473213496,0.000732,0,0,-71.466667,10000,10,10,1000,1000
474012110,0.000732,0,0,-71.768056,10000,10,10,1000,1000
474811104,0.000732,0,0,-72.065278,10000,10,10,1000,1000
475611195,0.000732,0,0,-72.359722,10000,10,10,1000,1000
476411668,0.000732,0,0,-72.655556,10000,10,10,1000,1000
477212523,0.000732,0,0,-72.955556,10000,10,10,1000,1000
478013760,0.000732,0,0,-73.256944,10000,10,10,1000,1000
478816100,0.000732,0,0,-73.558333,10000,10,10,1000,1000
479618824,0.000732,0,0,-73.856944,11000,10,10,1000,1000
480421932,0,0,0,-74.188889,11000,10,10,1000,1000
481226148,0.000732,0,0,-74.516667,12000,10,10,1000,1000
482029300,0.000732,0,0,-74.879167,12000,10,10,1000,1000
482833560,0.000732,0,0,-75.2375,13000,10,10,1000,1000
483638204,0.000732,0,0,-75.627778,13000,10,10,1000,1000
484443960,0.001465,0,0,-76.022222,14000,10,10,1000,1000
485250102,0.000732,0,0,-76.440278,14000,10,10,1000,1000
486056630,0,0,0,-76.859722,15000,10,10,1000,1000
486863544,-0.000732,0,0,-77.313889,15000,10,10,1000,1000
487670844,-0.003662,0,0,-77.769444,16000,10,10,1000,1000
488479263,-0.001465,0,0,-78.251389,16000,10,10,1000,1000
489287336,0.000732,0,0,-78.731944,17000,10,10,1000,1000
490096530,0.000732,0,0,-79.245833,17000,10,10,1000,1000
490905376,0,0,0,-79.7625,18000,10,10,1000,1000
491715345,0.000732,0,0,-80.304167,18000,10,10,1000,1000
492524964,0.000732,0,0,-80.848611,19000,10,10,1000,1000
493335708,0.000732,0,0,-81.425,19000,10,10,1000,1000
494146840,0.000732,0,0,-82.002778,20000,10,10,1000,1000
494958360,0.000732,0,0,-82.609722,20000,10,10,1000,1000
495771010,0.000732,0,0,-83.2125,20000,10,10,1000,1000
496583307,0.000732,0,0,-83.823611,20000,10,10,1000,1000
497396736,0.000732,0,0,-84.431944,20000,10,10,1000,1000
498210555,0.000732,0,0,-85.040278,20000,10,10,1000,1000
499024764,0.000732,0,0,-85.652778,20000,10,10,1000,1000
499839363,0.000732,0,0,-86.263889,20000,10,10,1000,1000
500655100,0.000732,0,0,-86.870833,20000,10,10,1000,1000
501470480,0.000732,0,0,-87.484722,20000,10,10,1000,1000
502287000,0.000732,0,0,-88.095833,20000,10,10,1000,1000
503103912,0.000732,0,0,-88.706944,20000,10,10,1000,1000
503921216,0.000732,0,0,-89.320833,20000,10,10,1000,1000
504738912,0.000732,0,0,-89.934722,20000,10,10,1000,1000
505557000,0.000732,0,0,-90.547222,20000,10,10,1000,1000
506376235,0.000732,0,0,-91.161111,20000,10,10,1000,1000
507195108,0.000732,0,0,-91.775,20000,10,10,1000,1000
508014373,0.000732,0,0,-92.388889,20000,10,10,1000,1000
508834030,0.000732,0,0,-92.998611,20000,10,10,1000,1000
509654838,0.000732,0,0,-93.615278,20000,10,10,1000,1000
510476040,0.000732,0,0,-94.233333,20000,10,10,1000,1000
511297636,0.000732,0,0,-94.845833,20000,10,10,1000,1000
512120388,0.000732,0,0,-95.4625,20000,10,10,1000,1000
512942773,0.000732,0,0,-96.083333,20000,10,10,1000,1000
513766316,0.000732,0,0,-96.697222,20000,10,10,1000,1000
514590255,0.000732,0,0,-97.315278,20000,10,10,1000,1000
